Unnamed: 0,track_id,artist,song,release_date,total_weeks,peak_position,peak_streams,total_streams,release_month,release_season,first_peak_date,peak_season,language,genre,popularity,bpm,energy,danceability,loudness,valence,length,acousticness,artist_seperation,debut_position
1798,1FF4PyIzXMAB4xakYryYvq,syava,мня вставляет дым,2014-01-13,3,109,41802,128220,1.0,Winter,2024-07-18,Summer,Russian,,50.0,76.0,69.0,79.0,-4.0,92.0,166.0,8.0,50.0,109
1799,5emQyqYHyUOcuS3nsuC0sm,stray kids,walkin on water,2024-12-13,2,40,79607,128199,12.0,Winter,2024-12-19,Winter,English,Hip Hop,79.0,190.0,96.0,56.0,-2.0,91.0,149.0,5.0,79.0,40
1800,4vEE3lzBLXBN3RxyGtZNir,megan thee stallion,neva play,2024-10-25,2,43,73631,128195,10.0,Fall,2024-09-12,Fall,English,Hip Hop,70.0,160.0,72.0,83.0,-6.0,75.0,158.0,3.0,70.0,43
1801,4fQoTnKle8pAHgRaKq6SUI,анна трінчер,вином текла,2025-01-30,3,121,45748,128157,1.0,Winter,2025-02-20,Winter,Ukrainian,,49.0,125.0,60.0,63.0,-7.0,38.0,140.0,39.0,49.0,180
1802,40rRCYp2QiowCZNtvfSwbC,morgenshtern,guf diss,2022-10-21,2,19,88315,128115,10.0,Fall,2022-10-27,Fall,Russian,Hip Hop,36.0,90.0,72.0,77.0,-6.0,49.0,144.0,64.0,36.0,19
1803,4YigzcQjSi7WPgJ34W8orv,morgenshtern,я на таблах,2021-05-27,3,27,74019,127568,5.0,Spring,2021-06-03,Summer,Russian,Hip Hop,35.0,135.0,50.0,93.0,-7.0,66.0,146.0,1.0,35.0,27
1804,1OKZvb7BUCqHaFBr7j05dj,kai angel,madam,2024-12-13,2,39,80179,127353,12.0,Winter,2024-12-19,Winter,Russian,Electronic,54.0,162.0,50.0,53.0,-10.0,20.0,142.0,8.0,54.0,39
1805,1nahzW3kfMuwReTka28tH5,justin bieber,hold on,2021-03-19,6,78,24145,127243,3.0,Spring,2021-03-11,Spring,English,Pop,71.0,140.0,63.0,66.0,-6.0,30.0,171.0,1.0,71.0,78
1806,5Wp4ZnMkekxWlnUXkGOdiK,daryana,кто ты,2024-04-26,3,164,46463,127163,4.0,Spring,2024-09-19,Fall,Russian,Pop,50.0,135.0,78.0,90.0,-7.0,85.0,100.0,3.0,50.0,192
1807,6imf6Ru34HlM1JVTGgCIpy,silvester belt,luktelk,2024-01-11,2,62,71014,127104,1.0,Winter,2024-05-16,Spring,Lithuanian,Pop,57.0,140.0,95.0,76.0,-6.0,38.0,161.0,43.0,57.0,62
